Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
South Eastern Private,03 9549 6655,Corner of Princes Highway and Heatherton Road,Noble Park,3174,Vic,,,www.southeasternprivate.com.au,,Private,100-199,-37.966243,145.191922,764
South Gippsland Hospital [Foster],03 5683 9777,87 Station Road,Foster,3960,Vic,South Gippsland Hospital (Foster),Gippsland,,Small hospital,Public,<50,-38.658319,146.207031,765
South Pacific Private,02 9905 3667,24 Beach Street,Curl Curl,2096,NSW,,,www.southpacificprivate.com.au,,Private,50-99,-33.775143,151.291425,766
South Perth Hospital,08 9367 0222,76 South Terrace,South Perth,6952,WA,,,http://www.sph.org.au/,,Private,,-31.988465,115.862816,767
South West Healthcare [Camperdown],03 5593 7300,9 Robinson Street,Camperdown,3260,Vic,South West Healthcare (Vic),Western Victoria,www.swarh.com.au/swh/,Small hospital,Public,<50,-38.237101,143.137714,768
South West Healthcare [Warrnambool],03 5563 1666,Ryot Street,Warrnambool,3280,Vic,South West Healthcare (Vic),Western Victoria,,Large regional hospital with an emergency department,Public,100-199,-38.380085,142.472977,769
Southern Cross Hospital,08 9081 2222,Coolgardie Road (Great Eastern Highway),Southern Cross,6426,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=169,Regional hospital,Public,<50,-31.230709,119.337829,770
Southern Highlands Private Hospital,02 4862 9400,93-95 Bowral Street,Bowral,2576,NSW,,,www.southernhighlandsprivate.com.au,,Private,50-99,-34.484223,150.422882,771
Southern Yorke Peninsula Health Service (Yorketown),08 8852 1200,19 Waterloo Bay Road,Yorketown,5576,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/yorketownhospital,Regional hospital,Public,<50,-35.020989,137.604939,772
Southport Day Hospital,07 5555 7800,"Level 1, 98 Marine Parade",Southport,4215,Qld,,,,,Private,<50,-27.96245,153.413046,773
Southside Endoscopy Centre,07 3801 2220,66 Bryants Road,Loganholme,4129,Qld,,,www.ssendoscopy.com.au,,Private,,-27.662981,153.17828,774
Spendelove Private Hospital,07 5503 0911,24 Spendelove Avenue,Southport,4215,Qld,,,https://spendeloveprivatehospital.com.au/,,Private,,-27.973494,153.4084,775
SPORTSMED SA Hospital & Day Surgery,08 8130 1100,32 Payneham Road,Stepney,5069,SA,,,www.sportsmed.com.au,,Private,50-99,-34.913521,138.624987,776
Springsure Hospital,07 4984 1200,Woodbine Street,Springsure,4722,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/springsure.asp,Regional hospital,Public,<50,-24.120122,148.084762,777
Springwood Hospital,02 4751 0300,7-9 Huntley Grange Road,Springwood,2777,NSW,Nepean Blue Mountains,Nepean Blue Mountains,www.nbmlhd.health.nsw.gov.au/Springwood-Hospital/,Small hospital,Public,<50,-33.690486,150.571129,778
St Andrew's Hospital,08 8408 2111,350 South Terrace,Adelaide,5000,SA,,,www.stand.org.au,,Private,200-500,-34.934224,138.614963,779
St Andrew's Ipswich Private Hospital,07 3816 9999,Corner of Roderick and Pring Streets,Ipswich,4305,Qld,,,www.standrewsipswich.com.au,,Private,100-199,-27.618799,152.763079,780
St Andrew's Toowoomba Hospital,07 4646 3000,280 North Street,Toowoomba,4350,Qld,,,www.sath.org.au,,Private,100-199,-27.539156,151.933665,781
St Andrew's War Memorial Hospital,07 3834 4444,457 Wickham Terrace,Spring Hill,4000,Qld,,,www.uchealth.com.au/sawmh,,Private,200-500,-27.461224,153.021011,782
St George Hospital NSW,02 9113 1111,30 Gray Street,Kogarah,2217,NSW,South Eastern Sydney,Central and Eastern Sydney,www.seslhd.health.nsw.gov.au/SGH/default.asp,Major hospital with an emergency department,Public,>500,-33.966969,151.133776,783
St George Hospital Qld,07 4620 2222,1 Victoria Street,St George,4487,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_stg_hosp.asp,Small hospital,Public,<50,-28.0272,148.592683,784
St George Private Hospital,02 9598 5555,1 South Street,Kogarah,2217,NSW,,,www.stgeorgeprivate.com.au,,Private,200-500,-33.966952,151.136055,785
St George's Health Service- Aged Care,03 9816 0444,283 Cotham Road,Kew,3101,Vic,St Vincent's Hospital (Melbourne) Limited,Eastern Melbourne,,Metropolitan hospital,Public,100-199,-37.809085,145.052585,786
St Helens District Hospital,03 6387 5570,Circassion Street,St Helens,7216,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/st_helens_district_hospital,Regional hospital,Public,<50,-41.323159,148.248814,787
St Helen's Private Hospital,03 6221 6444,186 Macquarie Street,Hobart,7000,Tas,,,www.sthelensprivatehospital.com.au,,Private,<50,-42.886839,147.325791,788
St John of God Ballarat Hospital,03 5320 2111,101 Drummond Street North,Ballarat,3350,Vic,,,www.sjog.org.au/ballarat,,Private,100-199,-37.558544,143.847406,789
St John of God Bendigo Hospital,03 5434 3434,133-145 Lily Street,Bendigo,3550,Vic,,,www.sjog.org.au/bendigo,,Private,100-199,-36.762043,144.263298,790
St John of God Berwick Hospital,03 8784 5000,75 Kangan Drive,Berwick,3806,Vic,,,www.sjog.org.au/berwick,,Private,200-500,-38.034499,145.344974,791
St John of God Bunbury Hospital,08 9722 1600,Corner of Roberston Drive and Bussell Highway,Bunbury,6230,WA,,,www.sjog.org.au/bunbury,,Private,100-199,-33.365947,115.648869,792
St John of God Burwood Hospital,02 9715 9200,13 Grantham Street,Burwood,2134,NSW,,,www.sjog.org.au/burwood,,Private,50-99,-33.869832,151.100538,793
St John of God Frankston Rehabilitation Hospital,03 9788 3333,255-265 Cranbourne Road,Frankston,3199,Vic,,,www.sjog.org.au/frankston,,Private,50-99,-38.153035,145.155926,794
St John of God Geelong Hospital,03 5226 8888,80 Myers Street,Geelong,3220,Vic,,,www.sjog.org.au/geelong,,Private,100-199,-38.151567,144.357679,795
St John of God Geraldton Hospital,08 9965 8888,12 Hermitage Street,Geraldton,6530,WA,,,www.sjog.org.au/geraldton,,Private,50-99,-28.784383,114.616439,796
St John of God Midland Private Hospital,08 9462 4500,1 Clayton Street,Midland,6056,WA,,,https://www.sjog.org.au/our-locations/st-john-of-god-midland-private-hospital,,Private,50-99,-31.894611,116.00748,797
St John of God Midland Public Hospital,08 9462 4000,1 Clayton Street,Midland,6056,WA,East Metropolitan Health Service (WA),Perth North,www.sjog.org.au/our-locations/st-john-of-god-midland-public-hospital,Large metropolitan hospital with an emergency department,Public,200-500,-31.894832,116.008852,798
St John of God Mt Lawley Hospital,08 9370 9222,Thirlmere Road,Mount Lawley,6050,WA,,,www.sjog.org.au/mtlawley,,Private,200-500,-31.936721,115.884926,799
St John of God Murdoch Hospital,08 9366 1111,100 Murdoch Drive,Murdoch,6150,WA,,,www.sjog.org.au/murdoch,,Private,200-500,-32.067919,115.844659,800
St John of God Pinelodge Clinic,03 8793 9444,1480 Heatherton Road,Dandenong,3175,Vic,,,www.sjog.org.au/pinelodge,,Private,50-99,-37.970226,145.213143,801
St John of God Richmond Hospital,02 4570 6100,177 Grose Vale Road,North Richmond,2754,NSW,,,www.sjog.org.au/richmond,,Private,50-99,-33.591946,150.702473,802
St John of God Subiaco Hospital,08 9382 6111,12 Salvado Road,Subiaco,6008,WA,,,www.sjog.org.au/subiaco,,Private,>500,-31.941246,115.826282,803
St John of God Warrnambool Hospital,03 5564 0600,136 Botanic Road,Warrnambool,3280,Vic,,,www.sjog.org.au/warrnambool,,Private,50-99,-38.371405,142.478749,804
St Joseph's Hospital,02 9649 8941,Normanby Road,Auburn,2144,NSW,St Vincent's Health Network,Western Sydney,www.svhs.org.au/about-us/st-josephs-hospital,Metropolitan hospital,Public,50-99,-33.848659,151.028339,805
St Luke's Hospital,02 9356 0200,18 Roslyn Street,Potts Point,2011,NSW,,,www.slc.org.au,,Private,50-99,-33.874188,151.225836,806
St Margaret's Hospital,08 8242 9111,65 Military Road,Semaphore,5019,SA,Central Adelaide,Adelaide,,Specialist rehabilitation hospital,Public,<50,-34.846418,138.480466,807
St Marys Community Health Centre,03 6387 5555,Gardiners Creek Road,St Marys,7215,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/st_marys_health_centre,Regional hospital,Public,<50,-41.576062,148.181244,808
St Stephen's Hospital Hervey Bay,07 4120 1200,1 Medical Place,Urraween,4655,Qld,,,http://ststephenshospital.com.au,,Private,50-99,-25.299851,152.823273,809
St Vincents Hospital [Darlinghurst],02 8382 1111,390 Victoria Street,Darlinghurst,2010,NSW,St Vincent's Health Network,Central and Eastern Sydney,www.svhs.org.au,Major hospital with an emergency department,Public,200-500,-33.879692,151.221125,810
St Vincent's Hospital [Fitzroy],03 9288 2211,41 Victoria Parade,Fitzroy,3065,Vic,St Vincent's Hospital (Melbourne) Limited,North Western Melbourne,www.svhm.org.au,Major hospital with an emergency department,Public,200-500,-37.806545,144.975231,811
St Vincents Private Hospital [Lismore],02 6627 9600,20 Dalley Street,Lismore,2480,NSW,,,www.svh.org.au,,Private,50-99,-28.819949,153.287381,812
St Vincent's Private Hospital Brisbane,07 3240 1111,411 Main Street,Kangaroo Point,4169,Qld,,,www.svphb.org.au,,Private,100-199,-27.473334,153.03542,813
St Vincent's Private Hospital East Melbourne,03 9928 6555,159 Grey Street,East Melbourne,3002,Vic,,,www.stvincentsmercy.com.au,,Private,100-199,-37.811733,144.984164,814
St Vincent's Private Hospital Fitzroy,03 9411 7111,59-61 Victoria Parade,Fitzroy,3065,Vic,,,www.stvincentsmercy.com.au,,Private,200-500,-37.807993,144.976029,815
St Vincent's Private Hospital Kew,03 9851 8888,5 Studley Avenue,Kew,3101,Vic,,,www.stvincentsmercy.com.au,,Private,<50,-37.806567,145.023694,816
St Vincent's Private Hospital Toowoomba,07 4690 4000,22-36 Scott Street,Toowoomba,4350,Qld,,,www.svpht.org.au,,Private,100-199,-27.565675,151.971551,817
St Vincent's Private Sydney,02 8382 7111,406 Victoria Street,Darlinghurst,2010,NSW,,,www.stvincentsprivatehospital.com.au/,,Private,200-500,-33.880698,151.219462,818
Stanthorpe Hospital,07 4683 3400,8 McGregor Terrace,Stanthorpe,4380,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-stanthorpe-hs.asp,Small hospital,Public,<50,-28.660927,151.928397,819
State Forensic Mental Health Service,08 9347 6960,Brockway Road,Mount Claremont,6010,WA,North Metropolitan Health Service (WA),Perth North,www.health.wa.gov.au/services/detail.cfm?Unit_ID=71,Specialist psychiatric hospital,Public,<50,-31.960937,115.788431,820
Stawell Regional Health,03 5358 8500,27-29 Sloane Street,Stawell,3380,Vic,Stawell Regional Health,Western Victoria,www.srh.org.au/,Small hospital,Public,<50,-37.059577,142.781603,821
Stirling Hospital,08 8339 0200,20 Milan Terrace,Stirling,5152,SA,,,www.stirlinghospital.org.au,,Private,<50,-35.007274,138.714859,822
Strathalbyn and District Health Service,08 8536 5333,14 Alfred Place,Strathalbyn,5255,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/strathalbynhospital,Small hospital,Public,<50,-35.257674,138.893558,823
Strathfield Private Hospital,02 9745 7444,3 Everton Road,Strathfield,2135,NSW,,,www.strathfieldprivate.com.au,,Private,50-99,-33.872059,151.097544,824
Streaky Bay Hospital,08 8626 1009,1 Flinders Drive,Streaky Bay,5680,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/streakybayhospital,Regional hospital,Public,<50,-32.792776,134.217524,825
Subiaco Private Hospital,08 6555 6599,"Suite 9, 1 Salvado Road",Subiaco,6008,WA,,,http://www.curagroup.com.au/subiaco-private-hospital,,Private,<50,-31.9434,115.826,826
Sunbury Day Hospital,03 9732 8600,7 Macedon Street,Sunbury,3429,Vic,Western Health (Vic),North Western Melbourne,,Day procedure hospital,Public,<50,-37.576998,144.732674,827
Sunnybank Private Hospital,07 3344 9444,245 McCullough Street,Sunnybank,4109,Qld,,,www.sunnybankprivatehospital.com.au,,Private,100-199,-27.572541,153.061051,828
Sunshine Coast Day Surgery,07 5444 9033,Second Ave & Memorial Avenue,Maroochydore,4558,QLD,,,www.curagroup.com.au/sunshine-coast-day-surgery,,Private,,-26.655373,153.096157,829
Sunshine Coast Haematology and Oncology Clinic,07 5479 0000,10 King Street,Buderim,4556,Qld,,,www.schoc.com,,Private,<50,-26.657299,153.094955,830
Sunshine Coast University Hospital,07 5202 0000,6 Doherty Street,Birtinya,4575,Qld,Sunshine Coast,"Central Queensland, Wide Bay and Sunshine Coast",https://www.health.qld.gov.au/sunshinecoast/services-and-facilities/sunshine-coast-university-hospital,Major hospital with an emergency department,Public,200-500,-26.74681,153.113812,831
Sunshine Coast University Private Hospital,07 5390 6000,3 Doherty Street,Birtinya,4575,Qld,,,www.sunshinecoastuniversityprivate.com.au/,,Private,100-199,-26.74422,153.114563,832
Sunshine Hospital,03 8345 1333,176 Furlong Road,St Albans,3021,Vic,Western Health (Vic),North Western Melbourne,,Medium metropolitan hospital with an emergency department,Public,>500,-37.759179,144.816477,833
Surat Hospital,07 4626 5166,Ivan Street,Surat,4417,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_surat_hosp.asp,Regional hospital,Public,<50,-27.156595,149.063787,834
Sutherland Heart Clinic,02 9540 8555,"Level 2, The Sutherland Hospital, The Kingsway",Caringbah,2229,NSW,,,www.sutherlandheartclinic.com.au,,Private,<50,-34.037931,151.114153,835
Sutherland Hospital,02 9540 7111,430 Kingsway,Caringbah,2229,NSW,South Eastern Sydney,Central and Eastern Sydney,http://www.seslhd.health.nsw.gov.au/TSH/,Large metropolitan hospital with an emergency department,Public,200-500,-34.037288,151.115151,836
Swan Hill District Health [Nyah],03 5030 2572,Monash Avenue,Nyah West,3595,Vic,Swan Hill District Health,Murray,,Regional hospital,Public,<50,-35.186052,143.355428,837
Swan Hill District Health [Swan Hill],03 5033 9300,48 Splatt Street,Swan Hill,3585,Vic,Swan Hill District Health,Murray,www.shdh.org.au,Small hospital with an emergency department,Public,50-99,-35.340588,143.556514,838
Sydney Adventist Hospital,02 9487 9111,185 Fox Valley Road,Wahroonga,2076,NSW,,,www.sah.org.au,,Private,>500,-33.733379,151.099874,839
Sydney Children's Hospital,02 9382 1111,High Street,Randwick,2031,NSW,Sydney Children's Hospitals Network,Central and Eastern Sydney,www.sch.edu.au/,Specialist children's hospital with an emergency department,Public,100-199,-33.917179,151.238334,840
Sydney Day Surgery - Prince Alfred,02 9550 5600,"RPAH Medical Centre - Suite 106, 100 Carillon Avenue",Newtown,2042,NSW,,,http://www.curagroup.com.au/sydney-day-surgery-prince-alfred,,Private,<50,-33.8912,151.1835,841
Sydney Dental Hospital,02 9293 3200,2 Chalmers Street,Surry Hills,2010,NSW,South Eastern Sydney,Central and Eastern Sydney,www.sswahs.nsw.gov.au/sydneydentalhospital,Specialist dental hospital,Public,<50,-33.884469,151.207811,842
Sydney Hospital / Sydney Eye Hospital,02 9382 7111,8 Macquarie Street,Sydney,2000,NSW,South Eastern Sydney,Central and Eastern Sydney,www.seslhd.health.nsw.gov.au/SHSEH/default.asp,Medium metropolitan hospital with an emergency department,Public,50-99,-33.867929,151.212575,843
Sydney Southwest Private Hospital,02 9821 0333,40 Bigge Street,Liverpool,2170,NSW,,,www.sydneysouthwestprivatehospital.com.au,,Private,50-99,-33.917876,150.927499,844
Tailem Bend District Hospital,08 8572 5800,74 Princes Highway,Tailem Bend,5260,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/tailembendhospital,Regional hospital,Public,<50,-35.254803,139.452692,845
Tallangatta Health Service,02 6071 5200,25 Barree Street,Tallangatta,3700,Vic,Tallangatta Health Service,Murray,,Regional hospital,Public,<50,-36.213705,147.183709,846
Tamara Private Hospital,02 6766 1955,2-6 Dean Street,Tamworth,2340,NSW,,,www.tamaraprivate.com.au/,,Private,50-99,-31.077535,150.921764,847
Tamworth Hospital,02 6767 7700,31 Dean Street,Tamworth,2340,NSW,Hunter New England,Hunter New England and Central Coast,,Large regional hospital with an emergency department,Public,200-500,-31.074079,150.924199,848
Tanunda War Memorial Hospital,08 8563 2398,15 Mill Street,Tanunda,5352,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/Tanundahospital,Small hospital,Public,<50,-34.528082,138.960859,849
Tara Hospital,07 4678 7900,15 Bilton Street,Tara,4421,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-tara-hs.asp,Regional hospital,Public,<50,-27.273674,150.456368,850
Taroom Hospital,07 4628 9900,Miller Street,Taroom,4420,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-taroom-hs.asp,Regional hospital,Public,<50,-25.638818,149.798669,851
Tasman Health and Community Service,03 6250 9000,1614 Nubeena Road,Nubeena,7184,Tas,Tasmanian Health Service,Tasmania,,Regional hospital,Public,<50,-43.096752,147.742831,852
Temora Hospital,02 6980 0200,169 Loftus Street,Temora,2666,NSW,Murrumbidgee,Murrumbidgee,,Small hospital with an emergency department,Public,<50,-34.443942,147.542616,853
Tennant Creek Hospital,08 8962 4399,41 Schmidt Street,Tennant Creek,860,NT,Central Australia (NT),Northern Territory,www.health.nt.gov.au/Hospitals/Tennant_Creek_Hospital/index.aspx,Small hospital with an emergency department,Public,<50,-19.647791,134.186893,854
Tenterfield Hospital,02 6739 5200,1-5 Naas Street,Tenterfield,2372,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-29.045083,152.013552,855
Terang & Mortlake Health Service [Terang],03 5592 0222,13 Austin Avenue,Terang,3264,Vic,Terang and Mortlake Health Service (Terang),Western Victoria,www.tmhs.vic.gov.au,Regional hospital,Public,<50,-38.239388,142.902119,856
Texas Hospital,07 4653 3200,Mingoola Road,Texas,4385,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-texas-hs.asp,Regional hospital,Public,<50,-28.855978,151.179481,857
The Alfred,03 9076 2000,55 Commercial Road,Prahran,3181,Vic,Alfred Health (Vic),North Western Melbourne,www.alfred.org.au,Major hospital with an emergency department,Public,>500,-37.846087,144.981937,858
The Avenue Hospital,03 9529 7377,40 The Avenue,Windsor,3181,Vic,,,www.theavenuehospital.com.au/,,Private,100-199,-37.854809,144.998513,859
The Bays Hospital,03 5975 2009,Vale Street,Mornington,3931,Vic,,,www.thebays.com.au,,Private,100-199,-38.223524,145.040939,860
The Bendigo Hospital,03 5454 6000,62 Lucan Street,Bendigo,3550,Vic,Bendigo Health Care Group,Murray,www.bendigohealth.org.au,Large regional hospital with an emergency department,Public,200-500,-36.748727,144.283372,861
The Border Cancer Hospital,02 6064 1400,201-239 Borella Road,Albury,2640,NSW,,,www.bordercancerhospital.com.au,,Private,<50,-36.078399,146.938123,862
The Cairns Clinic,07 4050 7000,253 Sheridan Street,Cairns,4870,Qld,,,,,Private,50-99,-16.910828,145.76209,863
The Canberra Hospital,02 5124 0000,Yamba Drive,Garran,2605,ACT,Australian Capital Territory,Australian Capital Territory,www.canberrahospital.act.gov.au,Major hospital with an emergency department,Public,>500,-35.345777,149.100898,864
The Children's Hospital at Westmead,02 9845 0000,178 Hawkesbury Road,Westmead,2145,NSW,Sydney Children's Hospitals Network,Western Sydney,www.chw.edu.au/,Specialist children's hospital with an emergency department,Public,200-500,-33.801554,150.991759,865
The Eye Hospital,03 6334 4960,262 Charles Street,Launceston,7250,Tas,,,http://www.curagroup.com.au/the-eye-hospital,,Private,,-41.444592,147.141609,866
The Geelong Clinic,03 5248 1155,98 Townsend Road,St Albans Park,3219,Vic,,,www.thegeelongclinic.com.au,,Private,<50,-38.182406,144.393267,867
The Hills Clinic Kellyville,1300 122 144,15-17 Memorial Avenue,Kellyville,2155,NSW,,,www.thehillsclinic.com.au,,Private,<50,-33.716759,150.952057,868
The Hills Private Hospital,02 9639 3333,499 Windsor Road,Baulkham Hills,2153,NSW,,,www.thehillsprivatehospital.com.au,,Private,50-99,-33.743476,150.9825,869
The Hobart Clinic,03 6247 9960,31 Chipmans Road,Rokeby,7019,Tas,,,www.thehobartclinic.com.au,,Private,,-42.905613,147.435278,870
The Kilmore & District Hospital,03 5734 2000,Rutledge Street,Kilmore,3764,Vic,Kilmore and District Hospital,Murray,,Small hospital,Public,<50,-37.301794,144.957915,871
The McKellar Centre,03 5279 2222,45-95 Ballarat Road,North Geelong,3215,Vic,Barwon Health,Western Victoria,,Specialist rehabilitation hospital,Public,50-99,-38.118795,144.335728,872
The Melbourne Clinic,03 9429 4688,130 Church Street,Richmond,3121,Vic,,,www.themelbourneclinic.com.au,,Private,100-199,-37.814361,144.998739,873
The Memorial Hospital,08 8366 3800,Sir Edwin Smith Avenue,North Adelaide,5006,SA,,,www.thememorialhospital.org.au,,Private,100-199,-34.912733,138.599385,874
The Mornington Centre,03 5976 2733,Corner of Tyalla Grove and Separation Street,Mornington,3931,Vic,Peninsula Health (Vic),South Eastern Melbourne,,Specialist rehabilitation hospital,Public,50-99,-38.230174,145.041697,875
The Northern Hospital [Epping],03 8405 8000,185 Cooper Street,Epping,3076,Vic,Northern Health (Vic),Eastern Melbourne,www.nh.org.au,Large metropolitan hospital with an emergency department,Public,200-500,-37.653417,145.014381,876
The Park Centre For Mental Health,07 3271 8222,Corner of Ellerton Drive and Wolston Park Road,Wacol,4076,Qld,West Moreton,Brisbane South,www.health.qld.gov.au/services/westmoreton/the-park.asp,Specialist psychiatric hospital,Public,100-199,-27.600413,152.910246,877
The Peter James Centre [East Burwood],03 9881 1888,321-345 Burwood Highway,Forest Hill,3131,Vic,Eastern Health (Vic),Eastern Melbourne,https://www.easternhealth.org.au/locations/peter-james-centre,Metropolitan hospital,Public,100-199,-37.852712,145.164542,878
The Prince Charles Hospital,07 3139 4000,Rode Road,Chermside,4032,Qld,Metro North (Qld),Brisbane North,www.health.qld.gov.au/services/metronorth/metronorth_tpch.asp,Major hospital with an emergency department,Public,>500,-27.390497,153.021955,879
The Queen Elizabeth Hospital,08 8222 6000,28 Woodville Road,Woodville,5011,SA,Central Adelaide,Adelaide,http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/the+queen+elizabeth+hospital/the+queen+elizabeth+hospital,Large metropolitan hospital with an emergency department,Public,200-500,-34.884179,138.534039,880
The Royal Victorian Eye & Ear Hospital,03 9929 8666,32 Gisborne Street,East Melbourne,3002,Vic,Royal Victorian Eye and Ear Hospital,North Western Melbourne,https://www.eyeandear.org.au/,Specialist eye and ear hospital with an emergency department,Public,50-99,-37.808978,144.976245,881
The Skin & Cancer Foundation Australia,02 8833 3000,7 Ashley Lane,Westmead,2145,NSW,,,www.skin.com.au,,Private,<50,-33.8072,150.98879,882
The Southport Private Hospital,07 5671 8000,21 Spendelove Avenue,Southport,4215,Qld,,Gold Coast,www.southportprivate.com.au,,Private,<50,-27.973078,153.407852,883
The Sydney Clinic,02 9389 8888,22-24 Murray Street,Bronte,2024,NSW,,,www.thesydneyclinic.com.au,,Private,<50,-33.901383,151.260988,884
The Sydney Private Hospital Incorporating the NSW Eye Centre,02 9797 0555,63 Victoria Street,Ashfield,2131,NSW,,,www.iphoa.com.au,,Private,50-99,-33.894,151.1299,885
The Townsville Hospital,07 4433 1111,100 Angus Smith Drive,Douglas,4814,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_tville_hosp.asp,Major hospital with an emergency department,Public,>500,-19.320683,146.762092,886
The Tweed Hospital,07 5536 1133,14 Powell Street,Tweed Heads,2485,NSW,Northern NSW,North Coast,,Large metropolitan hospital with an emergency department,Public,200-500,-28.177216,153.545458,887
The Valley Private Hospital,03 9790 9333,Corner of Police and Gladstone Roads,Mulgrave,3170,Vic,,,www.thevalleyprivate.com.au,,Private,100-199,-37.938409,145.213122,888
The Victoria Clinic,03 9526 0200,324 Malvern Road,Prahran,3181,Vic,,,www.thevictoriaclinic.com.au,,Private,<50,-37.847714,144.997225,889
The Victorian Rehabilitation Centre,03 9566 2777,499 Springvale Road,Glen Waverley,3150,Vic,,,www.thevictorianrehabilitationcentre.com.au,,Private,100-199,-37.898227,145.161425,890
The Wesley Hospital,07 3232 7000,451 Coronation Drive,Auchenflower,4066,Qld,,,www.uchealth.com.au/wesley,,Private,>500,-27.478335,152.997971,891
Theodore Hospital,07 4990 3000,The Boulevard,Theodore,4719,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/theodore.asp,Regional hospital,Public,<50,-24.943109,150.075277,892
Thomas Walker Hospital,02 9736 2288,Hospital Road,Concord West,2138,NSW,Sydney,Central and Eastern Sydney,,Specialist psychiatric hospital,Public,<50,-33.832336,151.097897,893
Thursday Island Hospital,07 4069 0200,163 Douglas Street,Thursday Island,4875,Qld,Torres and Cape,Northern Queensland,https://www.health.qld.gov.au/services/torres-cape/torres_ti_hosp,Small hospital,Public,<50,-10.588,142.21156,894
Tibooburra Hospital,08 8091 3302,Sturt Street,Tibooburra,2880,NSW,Far West,Western NSW,,Regional hospital with an emergency department,Public,<50,-29.433211,142.012817,895
Timboon & District Healthcare Service,03 5558 6000,21 Hospital Road,Timboon,3268,Vic,Timboon and District Healthcare Service,Western Victoria,www.timboonhealthcare.com.au,Regional hospital,Public,<50,-38.486231,142.976717,896
Tingha Multi Purpose Service,02 6723 3901,Inverell Road,Tingha,2369,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-29.950779,151.206732,897
Tocumwal Hospital,03 5874 2166,Adams Street,Tocumwal,2714,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.815407,145.568996,898
Tom Price Hospital,08 9159 5222,862 Mine Road,Tom Price,6751,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=257,Regional hospital,Public,<50,-22.695367,117.790271,899
Tomaree Hospital,02 4984 0700,2 Trevally Street,Nelson Bay,2315,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-32.720053,152.158858,900
Toosey Memorial Hospital (Longford),03 6391 1202,10 Archer Street,Longford,7301,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/toosey_aged_and_community_care,Regional hospital,Public,<50,-41.593091,147.119486,901
Toowong Private Hospital,07 3721 8000,496 Milton Road,Toowong,4066,Qld,,,www.toowongprivatehospital.com.au,,Private,50-99,-27.47736,152.99125,902
Toowoomba Hospital,07 4616 6000,Pechey Street,Toowoomba,4350,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-toowoomba-hs.asp,Large regional hospital with an emergency department,Public,200-500,-27.569872,151.944433,903
Toowoomba Surgicentre,07 4659 3100,18 Scott Street,Toowoomba,4350,Qld,,,http://www.curagroup.com.au/toowoomba-surgicentre/,,Private,<50,-27.566341,151.973785,904
Tottenham Multipurpose Service,02 6891 6200,Lot 10 Moondana Street,Tottenham,2873,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.242711,147.358031,905
Townsville Day Surgery,07 4725 4500,1 Martinez Avenue,West End,4810,Qld,,,www.townsvilledaysurgery.com.au,,Private,<50,-19.268889,146.782836,906
Trangie Multi Purpose Service,02 6880 8200,28 Harris Street,Trangie,2823,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.030813,147.976355,907
Tresillian Care Centres,02 9787 0800,McKenzie Street,Belmore,2192,NSW,Sydney,Central and Eastern Sydney,www.tresillian.net/,Early parenting centre,Public,50-99,-33.918732,151.097526,908
